"Rocket With Fin Section: Position in Rocket Tip[Y] (m)","Rocket With Fin Section: Pressure (Pa)"
0.49527766963640585,-2678.1447936186582
0.4988906127275399,-2787.9309687829623
0.5017511934100478,-2880.14438272098
0.5051388558514291,-2972.7612306803403
0.5084503700541771,-3057.194360069122
0.5118376174296888,-3161.253495870792
0.5152172912251312,-3151.8606427036357
0.5185715250147058,-3215.067091609606
0.5219551057630423,-3294.2459099648877
0.5253512481749596,-3381.301901576796
0.5286899609850593,-3455.1199022914934
0.5320838241403816,-3360.391190655171
0.5336125133514396,-3332.5500076421454
0.5356982042073464,-3464.5186979559653
0.5396727546518203,-3490.5461554023414
0.5436540628711557,-3406.0782052844224
0.5476141559694472,-3352.942303825613
0.551916445200707,-3252.7537309936683
0.5555410950568078,-3196.6035858242117
0.5601340532033425,-3148.776856007625
0.5644442284658637,-3088.887782209512
0.5687212051158916,-3049.507832853021
