"Rocket With Fin Section: Position in Rocket Tip[Y] (m)","Rocket With Fin Section: Position in Rocket Tip[X] (m)"
0.4770144855245706,0.07343700434871334
0.4803610737585624,0.0735315478377384
0.4835605633582427,0.07361555943719762
0.48681068536664074,0.07369634240030074
0.49021715882364636,0.0737749415448516
0.49359439448222475,0.07384734323146283
0.4970841411819731,0.07391687118322145
0.5003209030687936,0.07397556502335555
0.5034450246307387,0.07402600228683405
0.5067946129528031,0.0740747618700725
0.5101439937419328,0.07411717434724181
0.51352745432741,0.07415368002744671
0.5168944081199183,0.07418544753710984
0.5202633153888743,0.07421148448695414
0.5236531769690009,0.07423182639442827
0.5270206045800097,0.07424564983416947
0.5303868925627204,0.0742536171894115
0.5328481687459103,0.0742576762684382
0.534655358779393,0.07425956462988392
0.5376854794295831,0.07425963032404917
0.5416634087614878,0.07425903749468772
0.5456341094203012,0.07425914597113516
